GEOID,STATEFP,STATE,COUNTYFP,COUNTY,MEDN_INC22,TOT_HOUS22,0_35K,35K_60K,60K-100K,100K_125K,125K_150K,150K_MORE
450190033001,45, South Carolina,19, Charleston County,24943.0,165,120,0,17,0,16,12
450190033002,45, South Carolina,19, Charleston County,36337.0,415,169,126,37,22,25,36
450190033003,45, South Carolina,19, Charleston County,35513.0,389,183,63,134,9,0,0
450190033004,45, South Carolina,19, Charleston County,,405,126,86,101,40,12,40
450190034001,45, South Carolina,19, Charleston County,29196.0,251,177,0,47,11,0,16
450190034002,45, South Carolina,19, Charleston County,42276.0,257,93,72,22,0,70,0
450190034003,45, South Carolina,19, Charleston County,,447,241,85,22,93,0,6
450190034004,45, South Carolina,19, Charleston County,49327.0,853,319,150,216,87,19,62
450190035001,45, South Carolina,19, Charleston County,79517.0,629,127,114,186,62,40,100
450190035002,45, South Carolina,19, Charleston County,104329.0,908,103,60,242,163,123,217
450190036001,45, South Carolina,19, Charleston County,62563.0,498,175,72,159,21,5,66
450190036002,45, South Carolina,19, Charleston County,88750.0,612,83,133,171,65,38,122
450190036003,45, South Carolina,19, Charleston County,95694.0,420,29,71,136,115,38,31
450190037001,45, South Carolina,19, Charleston County,40237.0,558,262,274,12,0,0,10
450190037002,45, South Carolina,19, Charleston County,34313.0,782,427,201,122,0,0,32
450190037003,45, South Carolina,19, Charleston County,14890.0,387,254,55,62,0,0,16
450190038001,45, South Carolina,19, Charleston County,51711.0,548,187,131,96,134,0,0
450190038002,45, South Carolina,19, Charleston County,,383,193,26,120,44,0,0
450190038003,45, South Carolina,19, Charleston County,58750.0,630,188,127,261,0,29,25
450190039001,45, South Carolina,19, Charleston County,,329,119,48,3,41,110,8
450190039002,45, South Carolina,19, Charleston County,,57,19,11,0,27,0,0
450190039003,45, South Carolina,19, Charleston County,46250.0,400,98,112,132,0,7,51
450190040001,45, South Carolina,19, Charleston County,42125.0,418,153,169,81,15,0,0
450190040002,45, South Carolina,19, Charleston County,36932.0,417,200,97,85,6,3,26
450190043001,45, South Carolina,19, Charleston County,30250.0,134,76,51,0,0,7,0
450190043002,45, South Carolina,19, Charleston County,44469.0,165,51,51,41,22,0,0
450190043003,45, South Carolina,19, Charleston County,42545.0,307,152,108,23,0,0,24
450190043004,45, South Carolina,19, Charleston County,31077.0,452,364,23,50,0,0,15
450190044001,45, South Carolina,19, Charleston County,61818.0,494,199,40,123,23,3,106
450190044002,45, South Carolina,19, Charleston County,37024.0,352,159,101,66,8,9,9
450190046071,45, South Carolina,19, Charleston County,91910.0,667,17,120,230,75,64,161
450190046072,45, South Carolina,19, Charleston County,210530.0,380,0,89,72,9,0,210
450190046073,45, South Carolina,19, Charleston County,108906.0,1051,189,221,50,150,121,320
450190046074,45, South Carolina,19, Charleston County,56887.0,805,247,168,151,158,65,16
450190046091,45, South Carolina,19, Charleston County,81154.0,550,0,213,128,53,41,115
450190046092,45, South Carolina,19, Charleston County,115341.0,1165,116,321,131,91,43,463
450190046093,45, South Carolina,19, Charleston County,128864.0,1100,178,149,174,26,92,481
450190046094,45, South Carolina,19, Charleston County,,921,493,38,50,77,21,242
450190046101,45, South Carolina,19, Charleston County,119866.0,1227,226,132,122,170,158,419
450190046102,45, South Carolina,19, Charleston County,164306.0,811,62,0,137,81,83,448
450190046121,45, South Carolina,19, Charleston County,93703.0,753,125,51,228,98,16,235
450190046122,45, South Carolina,19, Charleston County,134404.0,511,18,0,56,82,170,185
450190046123,45, South Carolina,19, Charleston County,125921.0,442,56,39,73,46,134,94
450190046124,45, South Carolina,19, Charleston County,45579.0,2127,642,678,298,224,77,208
450190046131,45, South Carolina,19, Charleston County,228214.0,632,30,14,53,36,25,474
450190046141,45, South Carolina,19, Charleston County,125641.0,866,57,160,188,18,89,354
450190046142,45, South Carolina,19, Charleston County,122321.0,971,48,66,267,123,50,417
450190046143,45, South Carolina,19, Charleston County,90526.0,1088,126,233,250,149,94,236
450190046151,45, South Carolina,19, Charleston County,169133.0,596,0,8,89,52,53,394
450190046152,45, South Carolina,19, Charleston County,150170.0,1195,218,0,130,174,74,599
450190046153,45, South Carolina,19, Charleston County,146250.0,190,0,9,0,43,52,86
